BOS CELTICS, 0042200305, May 25, vs MIA, 97 - 110, TD Garden, MIA leads 3-2
BOS CELTICS, 0042200306, May 27, @ MIA, 103 - 104, Kaseya Center, Series tied 3-3
BOS CELTICS, 0042200307, May 29, vs MIA, 103 - 84, TD Garden, MIA wins 4-3
MIL BUCKS, 0012200003, Oct 1, vs MEM, 107 - 102, Fiserv Forum, Preseason
MIL BUCKS, 0012200023, Oct 6, @ ATL, 123 - 113, Etihad Arena, Preseason
MIL BUCKS, 0012200036, Oct 8, vs ATL, 118 - 109, Etihad Arena, Preseason
MIL BUCKS, 0012200049, Oct 11, @ CHI, 127 - 104, United Center, Preseason
MIL BUCKS, 0012200056, Oct 12, vs BKN, 107 - 97, Fiserv Forum, Preseason
MIL BUCKS, 0022200015, Oct 20, @ PHI, 88 - 90, Wells Fargo Center, Week 1
MIL BUCKS, 0022200033, Oct 22, vs HOU, 105 - 125, Fiserv Forum, Week 1
MIL BUCKS, 0022200060, Oct 26, vs BKN, 99 - 110, Fiserv Forum, Week 2
MIL BUCKS, 0022200075, Oct 28, vs NYK, 108 - 119, Fiserv Forum, Week 2
MIL BUCKS, 0022200085, Oct 29, vs ATL, 115 - 123, Fiserv Forum, Week 2
MIL BUCKS, 0022200100, Oct 31, vs DET, 108 - 110, Fiserv Forum, Week 3
MIL BUCKS, 0022200113, Nov 2, vs DET, 91 - 116, Fiserv Forum, Week 3
MIL BUCKS, 0022200129, Nov 4, @ MIN, 102 - 115, Target Center, Week 3
MIL BUCKS, 0022200136, Nov 5, vs OKC, 94 - 108, Fiserv Forum, Week 3
MIL BUCKS, 0022200149, Nov 7, @ ATL, 117 - 98, State Farm Arena, Week 4
MIL BUCKS, 0022200168, Nov 9, @ OKC, 132 - 136, Paycom Center, Week 4
MIL BUCKS, 0022200180, Nov 11, @ SAS, 111 - 93, AT&T Center, Week 4
MIL BUCKS, 0022200204, Nov 14, vs ATL, 121 - 106, Fiserv Forum, Week 5
MIL BUCKS, 0022200216, Nov 16, vs CLE, 98 - 113, Fiserv Forum, Week 5
MIL BUCKS, 0022200226, Nov 18, @ PHI, 110 - 102, Wells Fargo Center, Week 5
MIL BUCKS, 0022200251, Nov 21, vs POR, 111 - 119, Fiserv Forum, Week 6
MIL BUCKS, 0022200267, Nov 23, vs CHI, 118 - 113, Fiserv Forum, Week 6
MIL BUCKS, 0022200280, Nov 25, vs CLE, 102 - 117, Fiserv Forum, Week 6
MIL BUCKS, 0022200298, Nov 27, vs DAL, 115 - 124, Fiserv Forum, Week 6
MIL BUCKS, 0022200316, Nov 30, @ NYK, 103 - 109, Madison Square Garden, Week 7
MIL BUCKS, 0022200331, Dec 2, vs LAL, 133 - 129, Fiserv Forum, Week 7
MIL BUCKS, 0022200339, Dec 3, @ CHA, 96 - 105, Spectrum Center, Week 7
MIL BUCKS, 0022200353, Dec 5, @ ORL, 102 - 109, Amway Center, Week 8
MIL BUCKS, 0022200369, Dec 7, vs SAC, 113 - 126, Fiserv Forum, Week 8
MIL BUCKS, 0022200386, Dec 9, @ DAL, 105 - 106, American Airlines Center, Week 8
MIL BUCKS, 0022200401, Dec 11, @ HOU, 97 - 92, Toyota Center, Week 8
MIL BUCKS, 0022200410, Dec 13, vs GSW, 111 - 128, Fiserv Forum, Week 9
MIL BUCKS, 0022200425, Dec 15, @ MEM, 142 - 101, FedExForum, Week 9
MIL BUCKS, 0022200442, Dec 17, vs UTA, 97 - 123, Fiserv Forum, Week 9
MIL BUCKS, 0022200457, Dec 19, @ NOP, 119 - 128, Smoothie King Center, Week 10
MIL BUCKS, 0022200466, Dec 21, @ CLE, 114 - 106, Rocket Mortgage FieldHouse, Week 10
MIL BUCKS, 0022200483, Dec 23, @ BKN, 118 - 100, Barclays Center, Week 10
MIL BUCKS, 0022200495, Dec 25, @ BOS, 139 - 118, TD Garden, Week 10
MIL BUCKS, 0022200519, Dec 28, @ CHI, 119 - 113, United Center, Week 11
MIL BUCKS, 0022200533, Dec 30, vs MIN, 114 - 123, Fiserv Forum, Week 11
MIL BUCKS, 0022200548, Jan 1, vs WAS, 118 - 95, Fiserv Forum, Week 11
MIL BUCKS, 0022200561, Jan 3, vs WAS, 113 - 123, Fiserv Forum, Week 12
MIL BUCKS, 0022200569, Jan 4, @ TOR, 101 - 104, Scotiabank Arena, Week 12
MIL BUCKS, 0022200583, Jan 6, vs CHA, 138 - 109, Fiserv Forum, Week 12
MIL BUCKS, 0022200607, Jan 9, @ NYK, 107 - 111, Madison Square Garden, Week 13
MIL BUCKS, 0022200620, Jan 11, @ ATL, 105 - 114, State Farm Arena, Week 13
MIL BUCKS, 0022200628, Jan 12, @ MIA, 108 - 102, FTX Arena, Week 13
MIL BUCKS, 0022200641, Jan 14, @ MIA, 111 - 95, Miami-Dade Arena, Week 13
